             x=-,0.104, y=0.413, z,=0.960 m (x-r,i        Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
             x=-,0.104, y=0.413, z,=0.960 m (x-r,ight, y-fwd, z-up,)
,,,,,,,,
Body to Sensor R,otations:
,,,,,,,,,,,
             xRo,t=0.000, yRot=90.,000, zRot=180,.000 degrees (Rot,ate IMU into Vehi,cle Frame)
,,,,,,,

,,,,,,,,,,,,
        Latitude,        Longitude,        H-Ell,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
      (+/-D M S),       (+/-D M S),          (m),       (+/-D M S),       (+/-D M S),          (m),         (sec),          (deg),          (deg),          (deg),     (m/s),     (m/s),     (m/s)
  33 17 41.76998,  -97 33 15.11797,     3492.848,   33 17 41.76998,  -97 33 15.11797,     3492.848, 1271009608.00, -14.1861489399,   0.2282434673,  -1.1798919875,     2.025,    52.778,    -0.137
  33 17 43.48182,  -97 33 15.04427,     3492.738,   33 17 43.48182,  -97 33 15.04427,     3492.738, 1271009609.00, -14.6065624517,   0.3575084754,  -1.4091782380,     1.787,    52.757,    -0.067
  33 17 45.19230,  -97 33 14.98077,     3492.741,   33 17 45.19230,  -97 33 14.98077,     3492.741, 1271009610.00, -15.1257137802,   0.5000374565,  -1.3138151425,     1.509,    52.694,     0.071
  33 17 46.90067,  -97 33 14.92752,     3492.908,   33 17 46.90067,  -97 33 14.92752,     3492.908, 1271009611.00, -15.5872198251,   0.6016629807,  -0.6006545749,     1.281,    52.633,     0.244
  33 17 48.60706,  -97 33 14.88095,     3493.187,   33 17 48.60706,  -97 33 14.88095,     3493.187, 1271009612.00, -15.9818502360,   0.5580207854,   0.3153044042,     1.162,    52.579,     0.275
  33 17 50.31249,  -97 33 14.83625,     3493.383,   33 17 50.31249,  -97 33 14.83625,     3493.383, 1271009613.00, -15.9963231499,   0.5676808538,   1.3350432289,     1.192,    52.571,     0.135
  33 17 52.01859,  -97 33 14.78709,     3493.490,   33 17 52.01859,  -97 33 14.78709,     3493.490, 1271009614.00, -15.8054308013,   0.3762270066,   1.8703576968,     1.359,    52.619,     0.023
  33 17 53.72683,  -97 33 14.73047,     3493.455,   33 17 53.72683,  -97 33 14.73047,     3493.455, 1271009615.00, -15.1890485349,   0.2895785992,   1.6496428950,     1.573,    52.693,    -0.063
  33 17 55.43779,  -97 33 14.66534,     3493.339,   33 17 55.43779,  -97 33 14.66534,     3493.339, 1271009616.00, -14.7495268807,   0.2966488984,   1.8649547048,     1.793,    52.780,    -0.147
  33 17 57.15196,  -97 33 14.58914,     3493.216,   33 17 57.15196,  -97 33 14.58914,     3493.216, 1271009617.00, -14.4899769995,   0.2271605770,   1.5297743947,     2.132,    52.891,    -0.159
  33 17 58.86896,  -97 33 14.50454,     3492.974,   33 17 58.86896,  -97 33 14.50454,     3492.974, 1271009618.00, -14.1747929164,   0.0206322102,  -0.0478534350,     2.201,    52.954,    -0.317
  33 18 00.58785,  -97 33 14.42079,     3492.611,   33 18 00.58785,  -97 33 14.42079,     3492.611, 1271009619.00, -14.0455164491,   0.1153249450,  -0.9644598565,     2.107,    53.004,    -0.361
  33 18 02.30730,  -97 33 14.34274,     3492.341,   33 18 02.30730,  -97 33 14.34274,     3492.341, 1271009620.00, -14.4023087273,   0.3092482403,  -1.5794555651,     1.909,    52.988,    -0.186
  33 18 04.02516,  -97 33 14.27464,     3492.254,   33 18 04.02516,  -97 33 14.27464,     3492.254, 1271009621.00, -14.9782401734,   0.4598100897,  -1.8237647689,     1.613,    52.908,     0.022
  33 18 05.73958,  -97 33 14.21939,     3492.358,   33 18 05.73958,  -97 33 14.21939,     3492.358, 1271009622.00, -15.4396029787,   0.5018537328,  -1.7068985675,     1.259,    52.791,     0.151
  33 18 07.45022,  -97 33 14.17629,     3492.552,   33 18 07.45022,  -97 33 14.17629,     3492.552, 1271009623.00, -15.7971916683,   0.5999383777,  -0.6197970949,     1.017,    52.682,     0.236
  33 18 09.15804,  -97 33 14.13921,     3492.834,   33 18 09.15804,  -97 33 14.13921,     3492.834, 1271009624.00, -16.0772763568,   0.6051351049,   0.0886480301,     0.927,    52.606,     0.289
  33 18 10.86381,  -97 33 14.10406,     3493.098,   33 18 10.86381,  -97 33 14.10406,     3493.098, 1271009625.00, -16.0707675563,   0.5656353945,   0.3212230583,     0.904,    52.562,     0.246
  33 18 12.56836,  -97 33 14.06876,     3493.375,   33 18 12.56836,  -97 33 14.06876,     3493.375, 1271009626.00, -15.9644666965,   0.5622664027,   0.9974106593,     0.949,    52.530,     0.296
  33 18 14.27277,  -97 33 14.02943,     3493.642,   33 18 14.27277,  -97 33 14.02943,     3493.642, 1271009627.00, -15.8020904574,   0.5394454937,   1.3683721838,     1.098,    52.549,     0.248
  33 18 15.97767,  -97 33 13.98335,     3493.879,   33 18 15.97767,  -97 33 13.98335,     3493.879, 1271009628.00, -15.5274488679,   0.4083412910,   1.0740437644,     1.268,    52.560,     0.213
  33 18 17.68337,  -97 33 13.93206,     3494.059,   33 18 17.68337,  -97 33 13.93206,     3494.059, 1271009629.00, -15.2001811049,   0.3477395450,   0.5816896719,     1.377,    52.591,     0.151
