  31 09 03.55512,  -97 24 43.89896,      181.503,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
  30 56 27.04620,  -97 43 22.33911,     2768.432,   30 56 27.04620,  -97 43 22.33911,     2768.432, 1266449672.00,   0.0120550320,  -0.0036898482,  -0.0063655611,     0.400,    70.279,    -0.536
  30 56 29.32785,  -97 43 22.32668,     2767.957,   30 56 29.32785,  -97 43 22.32668,     2767.957, 1266449673.00,   0.0154068351,  -0.0095282881,  -0.0075515837,     0.258,    70.323,    -0.440
  30 56 31.61060,  -97 43 22.31882,     2767.536,   30 56 31.61060,  -97 43 22.31882,     2767.536, 1266449674.00,   0.0138999561,  -0.0137624462,  -0.0060217864,     0.140,    70.341,    -0.297
  30 56 33.89382,  -97 43 22.31615,     2767.286,   30 56 33.89382,  -97 43 22.31615,     2767.286, 1266449675.00,   0.0115852066,  -0.0109606826,  -0.0019423269,    -0.010,    70.343,    -0.259
  30 56 36.17580,  -97 43 22.31984,     2767.179,   30 56 36.17580,  -97 43 22.31984,     2767.179, 1266449676.00,   0.0172574888,  -0.0079469246,  -0.0223396244,    -0.114,    70.284,     0.093
  30 56 38.45589,  -97 43 22.32362,     2767.447,   30 56 38.45589,  -97 43 22.32362,     2767.447, 1266449677.00,   0.0191310608,  -0.0101700009,  -0.0050534878,    -0.108,    70.211,     0.324
  30 56 40.73286,  -97 43 22.32907,     2767.788,   30 56 40.73286,  -97 43 22.32907,     2767.788, 1266449678.00,   0.0127139335,  -0.0056665526,  -0.0050706765,    -0.214,    70.103,     0.333
  30 56 43.00670,  -97 43 22.33994,     2768.009,   30 56 43.00670,  -97 43 22.33994,     2768.009, 1266449679.00,   0.0179564973,  -0.0060045977,  -0.0121524348,    -0.315,    70.015,     0.127
  30 56 45.27801,  -97 43 22.35234,     2768.191,   30 56 45.27801,  -97 43 22.35234,     2768.191, 1266449680.00,   0.0124159954,  -0.0074427218,  -0.0161344915,    -0.356,    69.948,     0.148
  30 56 47.54705,  -97 43 22.36820,     2768.292,   30 56 47.54705,  -97 43 22.36820,     2768.292, 1266449681.00,   0.0181341142,  -0.0085657190,  -0.0014323945,    -0.496,    69.874,     0.008
  30 56 49.81372,  -97 43 22.39063,     2768.305,   30 56 49.81372,  -97 43 22.39063,     2768.305, 1266449682.00,   0.0173892691,  -0.0041997806,  -0.0060275160,    -0.648,    69.816,    -0.064
  30 56 52.07907,  -97 43 22.41292,     2768.304,   30 56 52.07907,  -97 43 22.41292,     2768.304, 1266449683.00,   0.0156646661,  -0.0131321927,  -0.0032372115,    -0.546,    69.772,     0.115
  30 56 54.34259,  -97 43 22.43091,     2768.502,   30 56 54.34259,  -97 43 22.43091,     2768.502, 1266449684.00,   0.0200363341,  -0.0087547951,  -0.0146218829,    -0.430,    69.701,     0.265
  30 56 56.60337,  -97 43 22.44669,     2768.784,   30 56 56.60337,  -97 43 22.44669,     2768.784, 1266449685.00,   0.0158594718,  -0.0120493024,  -0.0087777134,    -0.425,    69.611,     0.264
  30 56 58.86123,  -97 43 22.46300,     2769.058,   30 56 58.86123,  -97 43 22.46300,     2769.058, 1266449686.00,   0.0145989646,  -0.0126795560,  -0.0028991664,    -0.424,    69.531,     0.215
  30 57 01.11675,  -97 43 22.47898,     2769.228,   30 57 01.11675,  -97 43 22.47898,     2769.228, 1266449687.00,   0.0115737475,  -0.0106054488,  -0.0119461700,    -0.442,    69.457,     0.203
  30 57 03.37005,  -97 43 22.49709,     2769.397,   30 57 03.37005,  -97 43 22.49709,     2769.397, 1266449688.00,   0.0185294551,  -0.0032429411,  -0.0023262086,    -0.551,    69.394,     0.137
  30 57 05.62138,  -97 43 22.51962,     2769.420,   30 57 05.62138,  -97 43 22.51962,     2769.420, 1266449689.00,   0.0163464859,  -0.0074942880,  -0.0110752742,    -0.659,    69.332,    -0.066
  30 57 07.87121,  -97 43 22.54461,     2769.323,   30 57 07.87121,  -97 43 22.54461,     2769.323, 1266449690.00,   0.0177846100,  -0.0136535843,  -0.0088464684,    -0.681,    69.311,    -0.143
  30 57 10.12076,  -97 43 22.56990,     2769.072,   30 57 10.12076,  -97 43 22.56990,     2769.072, 1266449691.00,   0.0210619285,  -0.0071505133,  -0.0097918487,    -0.655,    69.320,    -0.306
  30 57 12.37153,  -97 43 22.59068,     2768.659,   30 57 12.37153,  -97 43 22.59068,     2768.659, 1266449692.00,   0.0165355620,  -0.0112471615,  -0.0154125647,    -0.434,    69.382,    -0.465
  30 57 14.62458,  -97 43 22.60191,     2768.158,   30 57 14.62458,  -97 43 22.60191,     2768.158, 1266449693.00,   0.0136535843,  -0.0029278143,  -0.0052769413,    -0.196,    69.452,    -0.468
  30 57 16.87993,  -97 43 22.60753,     2767.663,   30 57 16.87993,  -97 43 22.60753,     2767.663, 1266449694.00,   0.0217437483,  -0.0157448802,  -0.0026184171,    -0.104,    69.524,    -0.564
  30 57 19.13761,  -97 43 22.60841,     2767.047,   30 57 19.13761,  -97 43 22.60841,     2767.047, 1266449695.00,   0.0216635342,  -0.0042628060,  -0.0130061419,     0.060,    69.596,    -0.684
  30 57 21.39780,  -97 43 22.60370,     2766.326,   30 57 21.39780,  -97 43 22.60370,     2766.326, 1266449696.00,   0.0157334211,  -0.0017303325,  -0.0171142493,     0.185,    69.693,    -0.833
  30 57 23.66182,  -97 43 22.59484,     2765.363,   30 57 23.66182,  -97 43 22.59484,     2765.363, 1266449697.00,   0.0184435114,  -0.0041596736,  -0.0115737475,     0.296,    69.824,    -1.070
  30 57 25.93012,  -97 43 22.58303,     2764.336,   30 57 25.93012,  -97 43 22.58303,     2764.336, 1266449698.00,   0.0192456523,  -0.0089553303,  -0.0116138545,     0.331,    69.949,    -1.020
  30 57 28.20225,  -97 43 22.56951,     2763.352,   30 57 28.20225,  -97 43 22.56951,     2763.352, 1266449699.00,   0.0234282442,  -0.0048472229,  -0.0108346319,     0.361,    70.055,    -0.876
  30 57 30.47710,  -97 43 22.55516,     2762.589,   30 57 30.47710,  -97 43 22.55516,     2762.589, 1266449700.00,   0.0172632184,  -0.0065947442,  -0.0124045363,     0.354,    70.116,    -0.640
  30 57 32.75301,  -97 43 22.54480,     2762.039,   30 57 32.75301,  -97 43 22.54480,     2762.039, 1266449701.00,   0.0239782837,  -0.0032887777,  -0.0149026323,     0.234,    70.115,    -0.430
  30 57 35.02825,  -97 43 22.53518,     2761.746,   30 57 35.02825,  -97 43 22.53518,     2761.746, 1266449702.00,   0.0257028867,  -0.0059415723,  -0.0219213652,     0.321,    70.090,    -0.111
  30 57 37.30236,  -97 43 22.51989,     2761.783,   30 57 37.30236,  -97 43 22.51989,     2761.783, 1266449703.00,   0.0157677985,  -0.0063770203,  -0.0280233658,     0.494,    70.048,     0.177
  30 57 39.57449,  -97 43 22.50385,     2761.966,   30 57 39.57449,  -97 43 22.50385,     2761.966, 1266449704.00,   0.0225974554,  -0.0113674827,   0.0000802141,     0.333,    69.959,     0.185
  30 57 41.84376,  -97 43 22.49097,     2762.152,   30 57 41.84376,  -97 43 22.49097,     2762.152, 1266449705.00,   0.0229813372,  -0.0084282092,  -0.0123472405,     0.410,    69.890,     0.251
  30 57 44.11110,  -97 43 22.47223,     2762.473,   30 57 44.11110,  -97 43 22.47223,     2762.473, 1266449706.00,   0.0251012810,  -0.0062566991,  -0.0153037027,     0.556,    69.827,     0.348
  30 57 46.37608,  -97 43 22.45175,     2762.786,   30 57 46.37608,  -97 43 22.45175,     2762.786, 1266449707.00,   0.0256455909,  -0.0050248399,  -0.0144671843,     0.523,    69.742,     0.418
  30 57 48.63822,  -97 43 22.43388,     2763.144,   30 57 48.63822,  -97 43 22.43388,     2763.144, 1266449708.00,   0.0252273317,  -0.0087146881,  -0.0100725980,     0.402,    69.650,     0.327
  30 57 50.89725,  -97 43 22.41946,     2763.459,   30 57 50.89725,  -97 43 22.41946,     2763.459, 1266449709.00,   0.0229985259,  -0.0079698429,  -0.0089496008,     0.384,    69.565,     0.364
  30 57 53.15359,  -97 43 22.40573,     2763.796,   30 57 53.15359,  -97 43 22.40573,     2763.796, 1266449710.00,   0.0238923401,  -0.0075000175,  -0.0149083618,     0.323,    69.472,     0.351
  30 57 55.40664,  -97 43 22.39642,     2764.205,   30 57 55.40664,  -97 43 22.39642,     2764.205, 1266449711.00,   0.0237376415,  -0.0082964289,   0.0043544792,     0.153,    69.371,     0.407
  30 57 57.65697,  -97 43 22.39176,     2764.565,   30 57 57.65697,  -97 43 22.39176,     2764.565, 1266449712.00,   0.0215432131,  -0.0026184171,  -0.0179851452,     0.104,    69.300,     0.349
  30 57 59.90486,  -97 43 22.38986,     2764.908,   30 57 59.90486,  -97 43 22.38986,     2764.908, 1266449713.00,   0.0243908133,  -0.0098663332,  -0.0167876634,    -0.049,    69.211,     0.331
  30 58 02.14964,  -97 43 22.39580,     2765.252,   30 58 02.14964,  -97 43 22.39580,     2765.252, 1266449714.00,   0.0221906554,  -0.0113216460,  -0.0092131613,    -0.282,    69.118,     0.303
  30 58 04.39170,  -97 43 22.40951,     2765.554,   30 58 04.39170,  -97 43 22.40951,     2765.554, 1266449715.00,   0.0267342107,  -0.0115508291,  -0.0113560235,    -0.441,    69.047,     0.300
  30 58 06.63211,  -97 43 22.42784,     2765.841,   30 58 06.63211,  -97 43 22.42784,     2765.841, 1266449716.00,   0.0232277090,  -0.0075573133,  -0.0061936738,    -0.535,    69.011,     0.265
  30 58 08.87174,  -97 43 22.44885,     2766.048,   30 58 08.87174,  -97 43 22.44885,     2766.048, 1266449717.00,   0.0273816530,  -0.0024178819,  -0.0071333245,    -0.618,    68.991,     0.177
  30 58 11.11058,  -97 43 22.47351,     2766.211,   30 58 11.11058,  -97 43 22.47351,     2766.211, 1266449718.00,   0.0227922611,  -0.0101356234,  -0.0122154602,    -0.700,    68.957,     0.224
  30 58 13.34799,  -97 43 22.49884,     2766.466,   30 58 13.34799,  -97 43 22.49884,     2766.466, 1266449719.00,   0.0259836360,  -0.0139572519,  -0.0120779503,    -0.624,    68.916,     0.321
  30 58 15.58399,  -97 43 22.51932,     2766.909,   30 58 15.58399,  -97 43 22.51932,     2766.909, 1266449720.00,   0.0246543739,  -0.0013006142,  -0.0166558831,    -0.459,    68.880,     0.500
  30 58 17.81934,  -97 43 22.53467,     2767.292,   30 58 17.81934,  -97 43 22.53467,     2767.292, 1266449721.00,   0.0239439063,  -0.0113044573,  -0.0071848908,    -0.362,    68.860,     0.269
  30 58 20.05424,  -97 43 22.54425,     2767.557,   30 58 20.05424,  -97 43 22.54425,     2767.557, 1266449722.00,   0.0264591910,  -0.0092876459,  -0.0175668860,    -0.080,    68.862,     0.237
  30 58 22.28954,  -97 43 22.53989,     2767.833,   30 58 22.28954,  -97 43 22.53989,     2767.833, 1266449723.00,   0.0238522330,  -0.0071505133,  -0.0154240238,     0.255,    68.867,     0.302
  30 58 24.52461,  -97 43 22.52760,     2768.101,   30 58 24.52461,  -97 43 22.52760,     2768.101, 1266449724.00,   0.0236688865,  -0.0081531894,  -0.0100783276,     0.398,    68.856,     0.250
  30 58 26.75944,  -97 43 22.51062,     2768.298,   30 58 26.75944,  -97 43 22.51062,     2768.298, 1266449725.00,   0.0271868474,  -0.0116997982,  -0.0124732912,     0.469,    68.848,     0.128
  30 58 28.99422,  -97 43 22.49220,     2768.349,   30 58 28.99422,  -97 43 22.49220,     2768.349, 1266449726.00,   0.0303896815,  -0.0132181363,   0.0028590594,     0.519,    68.862,     0.012
  30 58 31.22999,  -97 43 22.46682,     2768.261,   30 58 31.22999,  -97 43 22.46682,     2768.261, 1266449727.00,   0.0260466614,  -0.0086402036,  -0.0220244976,     0.811,    68.903,    -0.060
  30 58 33.46689,  -97 43 22.43282,     2768.217,   30 58 33.46689,  -97 43 22.43282,     2768.217, 1266449728.00,   0.0209759849,  -0.0063999386,  -0.0164267000,     0.995,    68.935,    -0.022
  30 58 35.70460,  -97 43 22.39391,     2768.167,   30 58 35.70460,  -97 43 22.39391,     2768.167, 1266449729.00,   0.0273701939,  -0.0083709134,  -0.0201853031,     1.067,    68.942,    -0.105
  30 58 37.94181,  -97 43 22.35292,     2768.128,   30 58 37.94181,  -97 43 22.35292,     2768.128, 1266449730.00,   0.0249637711,  -0.0054946653,  -0.0208785821,     1.094,    68.920,     0.031
  30 58 40.17796,  -97 43 22.31435,     2768.170,   30 58 40.17796,  -97 43 22.31435,     2768.170, 1266449731.00,   0.0283556813,  -0.0042398877,  -0.0073739668,     0.947,    68.868,     0.086
  30 58 42.41223,  -97 43 22.28252,     2768.229,   30 58 42.41223,  -97 43 22.28252,     2768.229, 1266449732.00,   0.0280634728,  -0.0087605247,  -0.0127253926,     0.735,    68.808,     0.119
  30 58 44.64417,  -97 43 22.25765,     2768.370,   30 58 44.64417,  -97 43 22.25765,     2768.370, 1266449733.00,   0.0253075458,  -0.0097574713,  -0.0171772747,     0.601,    68.733,     0.169
  30 58 46.87298,  -97 43 22.24133,     2768.581,   30 58 46.87298,  -97 43 22.24133,     2768.581, 1266449734.00,   0.0244194612,  -0.0057696850,  -0.0099236290,     0.220,    68.603,     0.275
  30 58 49.09700,  -97 43 22.24103,     2768.939,   30 58 49.09700,  -97 43 22.24103,     2768.939, 1266449735.00,   0.0266769149,  -0.0016730368,  -0.0046867948,    -0.178,    68.453,     0.380
  30 58 51.31623,  -97 43 22.25310,     2769.354,   30 58 51.31623,  -97 43 22.25310,     2769.354, 1266449736.00,   0.0296276476,  -0.0041310257,  -0.0197154777,    -0.439,    68.301,     0.439
  30 58 53.53085,  -97 43 22.27354,     2769.837,   30 58 53.53085,  -97 43 22.27354,     2769.837, 1266449737.00,   0.0341253663,  -0.0104392910,  -0.0093506712,    -0.623,    68.162,     0.535
  30 58 55.74111,  -97 43 22.29790,     2770.369,   30 58 55.74111,  -97 43 22.29790,     2770.369, 1266449738.00,   0.0330825831,  -0.0072078091,  -0.0083365359,    -0.644,    68.045,     0.513
  30 58 57.94828,  -97 43 22.32116,     2770.832,   30 58 57.94828,  -97 43 22.32116,     2770.832, 1266449739.00,   0.0327330788,  -0.0078953584,  -0.0143984294,    -0.571,    67.979,     0.401
  30 59 00.15378,  -97 43 22.34073,     2771.141,   30 59 00.15378,  -97 43 22.34073,     2771.141, 1266449740.00,   0.0346066508,  -0.0091501360,  -0.0146849083,    -0.448,    67.940,     0.210
  30 59 02.35865,  -97 43 22.35476,     2771.272,   30 59 02.35865,  -97 43 22.35476,     2771.272, 1266449741.00,   0.0323377380,  -0.0100611389,  -0.0115336404,    -0.317,    67.929,     0.056
  30 59 04.56320,  -97 43 22.36521,     2771.288,   30 59 04.56320,  -97 43 22.36521,     2771.288, 1266449742.00,   0.0348301044,  -0.0100611389,  -0.0213541370,    -0.234,    67.924,     0.023
  30 59 06.76758,  -97 43 22.37233,     2771.305,   30 59 06.76758,  -97 43 22.37233,     2771.305, 1266449743.00,   0.0355233833,  -0.0067093358,  -0.0057582258,    -0.159,    67.913,     0.019
  30 59 08.97155,  -97 43 22.37633,     2771.294,   30 59 08.97155,  -97 43 22.37633,     2771.294, 1266449744.00,   0.0329966394,  -0.0097632008,  -0.0090355444,    -0.036,    67.905,    -0.029
  30 59 11.17601,  -97 43 22.37377,     2771.220,   30 59 11.17601,  -97 43 22.37377,     2771.220, 1266449745.00,   0.0348702114,  -0.0081016232,  -0.0181283846,     0.172,    67.940,    -0.134
  30 59 13.38197,  -97 43 22.36327,     2771.019,   30 59 13.38197,  -97 43 22.36327,     2771.019, 1266449746.00,   0.0316960252,  -0.0105137755,  -0.0164095113,     0.395,    67.997,    -0.228
  30 59 15.58952,  -97 43 22.34577,     2770.779,   30 59 15.58952,  -97 43 22.34577,     2770.779, 1266449747.00,   0.0321543915,  -0.0102559445,  -0.0097918487,     0.497,    68.031,    -0.235
  30 59 17.79816,  -97 43 22.32634,     2770.515,   30 59 17.79816,  -97 43 22.32634,     2770.515, 1266449748.00,   0.0346467579,  -0.0079469246,  -0.0147364745,     0.538,    68.062,    -0.249
  30 59 20.00729,  -97 43 22.30637,     2770.312,   30 59 20.00729,  -97 43 22.30637,     2770.312, 1266449749.00,   0.0336498113,  -0.0099923839,  -0.0097574713,     0.518,    68.064,    -0.165
  30 59 22.21630,  -97 43 22.28727,     2770.199,   30 59 22.21630,  -97 43 22.28727,     2770.199, 1266449750.00,   0.0336841888,  -0.0059014653,  -0.0151260858,     0.473,    68.051,    -0.024
  30 59 24.42448,  -97 43 22.27113,     2770.285,   30 59 24.42448,  -97 43 22.27113,     2770.285, 1266449751.00,   0.0312605773,  -0.0116367728,  -0.0101528121,     0.387,    68.016,     0.163
  30 59 26.63114,  -97 43 22.25793,     2770.518,   30 59 26.63114,  -97 43 22.25793,     2770.518, 1266449752.00,   0.0323205492,  -0.0123816180,  -0.0182544354,     0.309,    67.947,     0.326
  30 59 28.83491,  -97 43 22.24880,     2770.970,   30 59 28.83491,  -97 43 22.24880,     2770.970, 1266449753.00,   0.0337930508,  -0.0043659384,  -0.0111669474,     0.129,    67.838,     0.565
  30 59 31.03459,  -97 43 22.24817,     2771.584,   30 59 31.03459,  -97 43 22.24817,     2771.584, 1266449754.00,   0.0365203299,  -0.0058785470,  -0.0185581030,    -0.055,    67.709,     0.624
  30 59 33.23006,  -97 43 22.25189,     2772.298,   30 59 33.23006,  -97 43 22.25189,     2772.298, 1266449755.00,   0.0333174958,  -0.0050362990,  -0.0185581030,    -0.158,    67.571,     0.801
  30 59 35.42094,  -97 43 22.26064,     2773.117,   30 59 35.42094,  -97 43 22.26064,     2773.117, 1266449756.00,   0.0406055189,  -0.0135504519,  -0.0201337369,    -0.301,    67.422,     0.868
  30 59 37.60744,  -97 43 22.27265,     2774.048,   30 59 37.60744,  -97 43 22.27265,     2774.048, 1266449757.00,   0.0376318680,  -0.0068869527,  -0.0190393875,    -0.311,    67.312,     0.927
  30 59 39.79077,  -97 43 22.28317,     2774.952,   30 59 39.79077,  -97 43 22.28317,     2774.952, 1266449758.00,   0.0398320259,  -0.0144442660,  -0.0127884180,    -0.250,    67.232,     0.846
  30 59 41.97192,  -97 43 22.29183,     2775.687,   30 59 41.97192,  -97 43 22.29183,     2775.687, 1266449759.00,   0.0343144424,  -0.0130290603,  -0.0083136176,    -0.193,    67.176,     0.662
  30 59 44.15161,  -97 43 22.29734,     2776.282,   30 59 44.15161,  -97 43 22.29734,     2776.282, 1266449760.00,   0.0336440817,  -0.0091042994,  -0.0107028516,    -0.110,    67.136,     0.517
  30 59 46.32998,  -97 43 22.30188,     2776.735,   30 59 46.32998,  -97 43 22.30188,     2776.735, 1266449761.00,   0.0321372027,  -0.0072364570,  -0.0198873651,    -0.168,    67.097,     0.411
  30 59 48.50713,  -97 43 22.31186,     2777.029,   30 59 48.50713,  -97 43 22.31186,     2777.029, 1266449762.00,   0.0358728876,  -0.0052253751,  -0.0081016232,    -0.348,    67.069,     0.187
  30 59 50.68409,  -97 43 22.32806,     2777.138,   30 59 50.68409,  -97 43 22.32806,     2777.138, 1266449763.00,   0.0338274282,  -0.0056837413,  -0.0180825480,    -0.519,    67.079,     0.048
  30 59 52.86160,  -97 43 22.35075,     2777.094,   30 59 52.86160,  -97 43 22.35075,     2777.094, 1266449764.00,   0.0354259805,  -0.0081703782,  -0.0157162323,    -0.666,    67.108,    -0.120
  30 59 55.04043,  -97 43 22.37741,     2776.932,   30 59 55.04043,  -97 43 22.37741,     2776.932, 1266449765.00,   0.0356895411,  -0.0099408177,  -0.0196467228,    -0.767,    67.159,    -0.182
  30 59 57.22096,  -97 43 22.41007,     2776.739,   30 59 57.22096,  -97 43 22.41007,     2776.739, 1266449766.00,   0.0399752654,   0.0003838817,  -0.0227406949,    -0.944,    67.223,    -0.205
  30 59 59.40412,  -97 43 22.44725,     2776.469,   30 59 59.40412,  -97 43 22.44725,     2776.469, 1266449767.00,   0.0332029042,  -0.0083250768,  -0.0083422655,    -1.003,    67.312,    -0.310
  31 00 01.59043,  -97 43 22.48583,     2776.185,   31 00 01.59043,  -97 43 22.48583,     2776.185, 1266449768.00,   0.0433557164,  -0.0059988681,  -0.0110294376,    -1.066,    67.416,    -0.301
  31 00 03.78002,  -97 43 22.52591,     2775.824,   31 00 03.78002,  -97 43 22.52591,     2775.824, 1266449769.00,   0.0377922962,  -0.0004125296,  -0.0136765026,    -1.011,    67.522,    -0.316
  31 00 05.97419,  -97 43 22.55794,     2775.543,   31 00 05.97419,  -97 43 22.55794,     2775.543, 1266449770.00,   0.0382220145,  -0.0066463104,  -0.0207926384,    -0.663,    67.692,    -0.247
  31 00 08.17374,  -97 43 22.57730,     2775.320,   31 00 08.17374,  -97 43 22.57730,     2775.320, 1266449771.00,   0.0330653944,  -0.0162433535,  -0.0049732737,    -0.380,    67.854,    -0.244
  31 00 10.37833,  -97 43 22.58750,     2775.056,   31 00 10.37833,  -97 43 22.58750,     2775.056, 1266449772.00,   0.0383194173,  -0.0071390541,  -0.0175783452,    -0.187,    67.996,    -0.246
  31 00 12.58703,  -97 43 22.59444,     2774.821,   31 00 12.58703,  -97 43 22.59444,     2774.821, 1266449773.00,   0.0400497499,  -0.0042971835,  -0.0063369132,    -0.186,    68.108,    -0.243
  31 00 14.79927,  -97 43 22.60100,     2774.587,   31 00 14.79927,  -97 43 22.60100,     2774.587, 1266449774.00,   0.0384454681,  -0.0067494428,  -0.0172975958,    -0.172,    68.221,    -0.257
  31 00 17.01522,  -97 43 22.60937,     2774.309,   31 00 17.01522,  -97 43 22.60937,     2774.309, 1266449775.00,   0.0437109502,  -0.0115794770,  -0.0089152233,    -0.260,    68.336,    -0.322
  31 00 19.23511,  -97 43 22.62020,     2773.995,   31 00 19.23511,  -97 43 22.62020,     2773.995, 1266449776.00,   0.0459168377,  -0.0068010090,  -0.0147937703,    -0.304,    68.459,    -0.367
  31 00 21.45925,  -97 43 22.62995,     2773.680,   31 00 21.45925,  -97 43 22.62995,     2773.680, 1266449777.00,   0.0429718346,  -0.0036955778,  -0.0119748179,    -0.215,    68.601,    -0.270
  31 00 23.68826,  -97 43 22.63663,     2773.356,   31 00 23.68826,  -97 43 22.63663,     2773.356, 1266449778.00,   0.0403018513,  -0.0068583048,  -0.0183117311,    -0.137,    68.750,    -0.352
  31 00 25.92175,  -97 43 22.64001,     2772.994,   31 00 25.92175,  -97 43 22.64001,     2772.994, 1266449779.00,   0.0427598403,  -0.0045951215,  -0.0097230938,    -0.046,    68.880,    -0.352
  31 00 28.15946,  -97 43 22.64009,     2772.729,   31 00 28.15946,  -97 43 22.64009,     2772.729, 1266449780.00,   0.0445474686,  -0.0019709748,  -0.0126222602,     0.063,    69.022,    -0.209
  31 00 30.40184,  -97 43 22.63498,     2772.473,   31 00 30.40184,  -97 43 22.63498,     2772.473, 1266449781.00,   0.0418717557,  -0.0077922260,  -0.0100382206,     0.208,    69.157,    -0.263
  31 00 32.64849,  -97 43 22.62333,     2772.227,   31 00 32.64849,  -97 43 22.62333,     2772.227, 1266449782.00,   0.0441635868,  -0.0053285075,  -0.0160313591,     0.434,    69.289,    -0.202
  31 00 34.89920,  -97 43 22.60219,     2772.057,   31 00 34.89920,  -97 43 22.60219,     2772.057, 1266449783.00,   0.0429718346,  -0.0092933754,  -0.0084625866,     0.649,    69.397,    -0.138
  31 00 37.15292,  -97 43 22.57473,     2771.981,   31 00 37.15292,  -97 43 22.57473,     2771.981, 1266449784.00,   0.0436593840,  -0.0114133193,  -0.0093621304,     0.826,    69.477,    -0.060
  31 00 39.40878,  -97 43 22.54057,     2771.927,   31 00 39.40878,  -97 43 22.54057,     2771.927, 1266449785.00,   0.0423530402,  -0.0052540230,  -0.0142838378,     0.973,    69.527,    -0.008
  31 00 41.66581,  -97 43 22.50452,     2771.965,   31 00 41.66581,  -97 43 22.50452,     2771.965, 1266449786.00,   0.0443583925,  -0.0083881021,  -0.0064228569,     0.920,    69.549,     0.069
  31 00 43.92303,  -97 43 22.47132,     2772.037,   31 00 43.92303,  -97 43 22.47132,     2772.037, 1266449787.00,   0.0446104939,  -0.0061650259,  -0.0131608406,     0.867,    69.545,     0.119
  31 00 46.18005,  -97 43 22.43853,     2772.201,   31 00 46.18005,  -97 43 22.43853,     2772.201, 1266449788.00,   0.0485753619,  -0.0071963499,  -0.0096142318,     0.876,    69.536,     0.190
  31 00 48.43647,  -97 43 22.40636,     2772.428,   31 00 48.43647,  -97 43 22.40636,     2772.428, 1266449789.00,   0.0451605334,  -0.0100324910,  -0.0100267614,     0.828,    69.507,     0.259
  31 00 50.69211,  -97 43 22.37390,     2772.654,   31 00 50.69211,  -97 43 22.37390,     2772.654, 1266449790.00,   0.0470512941,  -0.0050821356,  -0.0226662104,     0.910,    69.489,     0.181
  31 00 52.94699,  -97 43 22.33979,     2772.847,   31 00 52.94699,  -97 43 22.33979,     2772.847, 1266449791.00,   0.0502999648,  -0.0100611389,  -0.0100897868,     0.849,    69.450,     0.223
  31 00 55.20058,  -97 43 22.30798,     2772.953,   31 00 55.20058,  -97 43 22.30798,     2772.953, 1266449792.00,   0.0449829165,  -0.0068468457,  -0.0137968237,     0.815,    69.412,     0.115
  31 00 57.45261,  -97 43 22.28074,     2772.938,   31 00 57.45261,  -97 43 22.28074,     2772.938, 1266449793.00,   0.0491254014,  -0.0200764411,  -0.0067838203,     0.620,    69.365,    -0.066
  31 00 59.70369,  -97 43 22.25961,     2772.857,   31 00 59.70369,  -97 43 22.25961,     2772.857, 1266449794.00,   0.0467247082,  -0.0065947442,  -0.0100783276,     0.533,    69.369,    -0.102
  31 01 01.95587,  -97 43 22.24029,     2772.629,   31 01 01.95587,  -97 43 22.24029,     2772.629, 1266449795.00,   0.0489019478,  -0.0092303501,  -0.0166616127,     0.496,    69.416,    -0.320
  31 01 04.20963,  -97 43 22.22349,     2772.218,   31 01 04.20963,  -97 43 22.22349,     2772.218, 1266449796.00,   0.0494863648,  -0.0017131438,  -0.0213770553,     0.415,    69.477,    -0.428
  31 01 06.46633,  -97 43 22.20838,     2771.664,   31 01 06.46633,  -97 43 22.20838,     2771.664, 1266449797.00,   0.0511880494,  -0.0073453189,  -0.0192399228,     0.393,    69.586,    -0.645
  31 01 08.72635,  -97 43 22.19640,     2770.986,   31 01 08.72635,  -97 43 22.19640,     2770.986, 1266449798.00,   0.0500707817,  -0.0014381241,  -0.0171027902,     0.220,    69.683,    -0.742
  31 01 10.98948,  -97 43 22.19084,     2770.162,   31 01 10.98948,  -97 43 22.19084,     2770.162, 1266449799.00,   0.0460314293,  -0.0134301307,  -0.0112815390,     0.054,    69.773,    -0.819
  31 01 13.25587,  -97 43 22.19291,     2769.388,   31 01 13.25587,  -97 43 22.19291,     2769.388, 1266449800.00,   0.0493030183,  -0.0081818373,  -0.0074656401,    -0.150,    69.884,    -0.787
  31 01 15.52567,  -97 43 22.20062,     2768.627,   31 01 15.52567,  -97 43 22.20062,     2768.627, 1266449801.00,   0.0523396946,  -0.0029793805,  -0.0239840133,    -0.236,    69.989,    -0.720
  31 01 17.79882,  -97 43 22.21101,     2767.911,   31 01 17.79882,  -97 43 22.21101,     2767.911, 1266449802.00,   0.0510333508,  -0.0098033079,  -0.0166845310,    -0.280,    70.089,    -0.721
  31 01 20.07543,  -97 43 22.22257,     2767.249,   31 01 20.07543,  -97 43 22.22257,     2767.249, 1266449803.00,   0.0501739141,  -0.0059587611,  -0.0170626831,    -0.284,    70.199,    -0.689
  31 01 22.35582,  -97 43 22.23146,     2766.616,   31 01 22.35582,  -97 43 22.23146,     2766.616, 1266449804.00,   0.0485982802,  -0.0004182592,  -0.0161745986,    -0.207,    70.316,    -0.662
