  31 09 03.55512,  -97 24 43.89896,      181.503,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
  30 57 18.18418,  -97 40 37.45811,     2804.908,   30 57 18.18418,  -97 40 37.45811,     2804.908, 1266458000.00, -125.153142576,   2.6473457628,   0.4369949103,   -39.069,   -34.712,     2.014
  30 57 17.05738,  -97 40 38.92494,     2806.786,   30 57 17.05738,  -97 40 38.92494,     2806.786, 1266458001.00, -125.286315156,   2.4033344970,   0.2536885230,   -38.830,   -34.733,     1.731
  30 57 15.92905,  -97 40 40.38324,     2808.373,   30 57 15.92905,  -97 40 40.38324,     2808.373, 1266458002.00, -125.585634038,   2.2701962942,   0.3766223475,   -38.616,   -34.795,     1.469
  30 57 14.79824,  -97 40 41.83370,     2809.755,   30 57 14.79824,  -97 40 41.83370,     2809.755, 1266458003.00, -125.761784183,   2.1519779123,   0.3173326748,   -38.408,   -34.888,     1.305
  30 57 13.66457,  -97 40 43.27690,     2810.975,   30 57 13.66457,  -97 40 43.27690,     2810.975, 1266458004.00, -125.877544576,   2.0327969613,   0.5887485120,   -38.244,   -34.956,     1.142
  30 57 12.52902,  -97 40 44.71475,     2812.051,   30 57 12.52902,  -97 40 44.71475,     2812.051, 1266458005.00, -126.122042856,   1.8691086489,   0.7567970333,   -38.115,   -35.020,     0.990
  30 57 11.39100,  -97 40 46.14819,     2812.945,   30 57 11.39100,  -97 40 46.14819,     2812.945, 1266458006.00, -126.109426325,   1.7330082542,   0.8734626995,   -38.015,   -35.096,     0.807
  30 57 10.25114,  -97 40 47.57890,     2813.685,   30 57 10.25114,  -97 40 47.57890,     2813.685, 1266458007.00, -126.156678154,   1.6204564249,   1.5821599259,   -37.977,   -35.127,     0.671
  30 57 09.11193,  -97 40 49.00984,     2814.277,   30 57 09.11193,  -97 40 49.00984,     2814.277, 1266458008.00, -126.262211251,   1.5595911183,   2.7267004174,   -38.031,   -35.049,     0.524
  30 57 07.97677,  -97 40 50.44436,     2814.737,   30 57 07.97677,  -97 40 50.44436,     2814.737, 1266458009.00, -125.878799353,   1.4549862137,   3.2374693735,   -38.172,   -34.876,     0.399
  30 57 06.84870,  -97 40 51.88568,     2815.082,   30 57 06.84870,  -97 40 51.88568,     2815.082, 1266458010.00, -125.534904355,   1.3849765007,   3.5592825783,   -38.383,   -34.621,     0.294
  30 57 05.72915,  -97 40 53.33535,     2815.328,   30 57 05.72915,  -97 40 53.33535,     2815.328, 1266458011.00, -125.253152359,   1.3228048504,   3.2557639159,   -38.608,   -34.365,     0.203
  30 57 04.61684,  -97 40 54.79259,     2815.505,   30 57 04.61684,  -97 40 54.79259,     2815.505, 1266458012.00, -125.043913902,   1.2682821866,   2.5710105958,   -38.779,   -34.183,     0.152
  30 57 03.50910,  -97 40 56.25529,     2815.655,   30 57 03.50910,  -97 40 56.25529,     2815.655, 1266458013.00, -124.960433951,   1.2947757550,   2.0035073589,   -38.896,   -34.083,     0.147
  30 57 02.40349,  -97 40 57.72109,     2815.822,   30 57 02.40349,  -97 40 57.72109,     2815.822, 1266458014.00, -124.982246455,   1.3803355426,   1.4023313923,   -38.944,   -34.050,     0.195
  30 57 01.29745,  -97 40 59.18728,     2816.051,   30 57 01.29745,  -97 40 59.18728,     2816.051, 1266458015.00, -125.016331714,   1.4780821424,   0.7006758172,   -38.915,   -34.111,     0.265
  30 57 00.18823,  -97 41 00.65101,     2816.365,   30 57 00.18823,  -97 41 00.65101,     2816.365, 1266458016.00, -125.078411691,   1.5015848712,   0.3856636215,   -38.818,   -34.236,     0.341
